Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.000e-03,3.5875
-9.998e-04,4.80563
-9.996e-04,4.86719
-9.994e-04,4.86656
-9.992e-04,4.87688
-9.990e-04,4.87625
-9.988e-04,4.87156
-9.986e-04,4.87437
-9.984e-04,4.87688
-9.982e-04,4.87719
-9.980e-04,4.87219
-9.978e-04,4.87875
-9.976e-04,4.88375
-9.974e-04,4.88406
-9.972e-04,4.88187
-9.970e-04,4.87312
-9.968e-04,4.88312
-9.966e-04,4.89094
-9.964e-04,4.88938
-9.962e-04,4.89406
-9.960e-04,4.89125
-9.958e-04,4.89562
-9.956e-04,4.88719
-9.954e-04,4.89906
-9.952e-04,4.89625
-9.950e-04,4.9
-9.948e-04,4.89813
-9.946e-04,4.90125
-9.944e-04,4.89719
-9.942e-04,4.90562
-9.940e-04,4.90719
-9.938e-04,4.90656
-9.936e-04,4.90469
-9.934e-04,4.90906
-9.932e-04,4.89969
-9.930e-04,4.90094
-9.928e-04,4.90937
-9.926e-04,4.90469
-9.924e-04,4.91406
-9.922e-04,4.90875
-9.920e-04,4.90781
-9.918e-04,4.9125
-9.916e-04,4.91312
-9.914e-04,4.91875
-9.912e-04,4.9125
-9.910e-04,4.91625
-9.908e-04,4.91688
-9.906e-04,4.90875
-9.904e-04,4.91406
-9.902e-04,4.92031
-9.900e-04,4.91031
-9.898e-04,4.91812
-9.896e-04,4.91938
-9.894e-04,4.91719
-9.892e-04,4.91906
-9.890e-04,4.91688
-9.888e-04,4.91469
-9.886e-04,4.91656
-9.884e-04,4.92
-9.882e-04,4.92375
-9.880e-04,4.92344
-9.878e-04,4.91875
-9.876e-04,4.91437
-9.874e-04,4.91688
-9.872e-04,4.91531
-9.870e-04,4.91781
-9.868e-04,4.91531
-9.866e-04,4.91094
-9.864e-04,4.91406
-9.862e-04,4.91844
-9.860e-04,4.92188
-9.858e-04,4.91531
-9.856e-04,4.91469
-9.854e-04,4.91
-9.852e-04,4.91875
-9.850e-04,4.91594
-9.848e-04,4.91844
-9.846e-04,4.91281
-9.844e-04,4.92063
-9.842e-04,4.91656
-9.840e-04,4.91594
-9.838e-04,4.91063
-9.836e-04,4.915
-9.834e-04,4.925
-9.832e-04,4.9225
-9.830e-04,4.91688
-9.828e-04,4.91281
-9.826e-04,4.91875
-9.824e-04,4.92
-9.822e-04,4.91531
-9.820e-04,4.91844
-9.818e-04,4.91719
-9.816e-04,4.9175
-9.814e-04,4.90969
-9.812e-04,4.91469
-9.810e-04,4.91969
-9.808e-04,4.92188
-9.806e-04,4.91781
-9.804e-04,4.91406
-9.802e-04,4.91781
-9.800e-04,4.91625
-9.798e-04,4.92219
-9.796e-04,4.91406
-9.794e-04,4.91031
-9.792e-04,4.91281
-9.790e-04,4.91063
-9.788e-04,4.91156
-9.786e-04,4.91906
-9.784e-04,4.91906
-9.782e-04,4.91375
-9.780e-04,4.91406
-9.778e-04,4.91437
-9.776e-04,4.92531
-9.774e-04,4.9175
-9.772e-04,4.91469
-9.770e-04,4.91375
-9.768e-04,4.91125
-9.766e-04,4.91375
-9.764e-04,4.91656
-9.762e-04,4.91656
-9.760e-04,4.91219
-9.758e-04,4.92031
-9.756e-04,4.91312
-9.754e-04,4.91375
-9.752e-04,4.91125
-9.750e-04,4.92281
-9.748e-04,4.91594
-9.746e-04,4.92281
-9.744e-04,4.91531
-9.742e-04,4.92031
-9.740e-04,4.91563
-9.738e-04,4.915
-9.736e-04,4.91594
-9.734e-04,4.90781
-9.732e-04,4.91219
-9.730e-04,4.91844
-9.728e-04,4.90969
-9.726e-04,4.91531
-9.724e-04,4.915
-9.722e-04,4.91437
-9.720e-04,4.9175
-9.718e-04,4.91594
-9.716e-04,4.91625
